,arousal mean (sd),dominance mean (sd),
1000,7.11,5.84,1
1001,7.45,5.75,1
1002,7.72,6.12,1
1003,6.19,4.62,1
1004,6.88,5.17,1
1005,6.92,5.03,1
1006,7.37,5.64,1
1007,7.33,5.56,1
1008,6.53,4.99,1
1009,6.88,5.26,1
2000,5.82,3.93,0
2001,6.06,4.02,0
2002,5.99,3.88,0
2003,5.63,4.02,0
2004,6,3.89,0
2005,5.83,3.76,0
2006,5.89,4.05,0
2007,6.1,3.85,0
2008,5.51,3.72,0
2009,6.11,3.88,0
3000,3.64,3.58,0
3001,4.79,3.24,0
3002,3.87,3.37,0
3003,4.29,3.7,0
3004,3.79,3.38,0
3005,4.05,3.85,0
3006,4.25,3.89,0
3007,3.58,3.74,0
3008,3.61,3.4,0
3009,3.89,3.41,0
4000,2.39,2.85,0
4001,3.3,3.12,0
4002,3.35,3,0
4003,3.09,2.9,0
4004,4.19,3.27,0
4005,3.58,3.62,0
4006,3.42,3.12,0
4007,3.38,3.44,0
4008,3.34,3.07,0
4009,4.26,3.37,0
5000,2.99,2.88,0
5001,2.72,2.94,0
5002,2.51,2.88,0
5003,3.52,3.61,0
5004,2.99,3.65,0
5005,2.86,3.5,0
5006,2.86,2.8,0
5007,3.2,3.17,0
5008,2.54,3.23,0
5009,2.79,3.23,0
6001,2.44,2.58,0
6002,2.33,3.14,0
1000,7.45,6.31,1
1001,7.69,6.17,1
1002,8.01,6.48,1
1003,6.49,5.04,1
1004,7.19,5.68,1
1005,7.19,5.65,1
1006,7.65,6.04,1
1007,7.49,5.99,1
1008,6.81,5.47,1
1009,7.07,5.64,1
2000,5.85,4.04,0
2001,6.24,4.33,0
2002,6.06,4.23,0
2003,5.77,4.57,0
2004,6.24,4.15,0
2005,5.93,4.12,0
2006,6.08,4.24,0
2007,6.26,4.03,0
2008,5.73,4.11,0
2009,6.29,4.2,0
3000,3.89,3.93,0
3001,4.75,3.57,0
3002,4.12,3.69,0
3003,4.61,3.84,0
3004,3.97,3.63,0
3005,4.22,3.96,0
3006,4.41,4.21,0
3007,3.93,3.77,0
3008,3.68,3.47,0
3009,4.08,3.52,0
4000,2.36,3.04,0
4001,3.52,3.45,0
4002,3.64,3.39,0
4003,3.27,3.12,0
4004,4.28,3.48,0
4005,3.77,3.85,0
4006,3.57,3.24,0
4007,3.64,3.52,0
4008,3.51,3.27,0
4009,4.42,3.44,0
5000,3.07,3.12,0
5001,2.65,3.09,0
5002,2.55,3.15,0
5003,3.45,3.6,0
5004,3.09,3.61,0
5005,3.04,3.55,0
5006,2.92,2.92,0
5007,3.07,3.13,0
5008,2.5,3.28,0
5009,2.77,3.17,0
6001,2.61,2.72,0
6002,2.47,3.09,0
